Group,Control Total #,Control Yes %,With Assistant Total #,With Assistant Yes %,Diff yes %,p-Value (Fisher)
"S3 privacy assistant user correct (i.e., 5-10% of users would share)",41,7.32%,402,9.70%,-2.38%,0.7843
"S3 privacy assistant expert correct (i.e., 5-10% of experts recommend share)",41,7.32%,389,7.97%,-0.65%,1
"S5 privacy assistant both correct (i.e.,  5-10% of users would share and  5-10% of experts recommend share)",42,9.52%,475,8.63%,0.89%,0.7764
"S6 privacy assistant both correct (i.e.,  85-90% of users would share and  85-90% of experts recommend share)",49,73.47%,503,84.49%,-11.02%,0.0666
