Group,Control Total #,Control Yes %,With Assistant Total #,With Assistant Yes %,Diff yes %,p-Value (Fisher)
"S3 privacy assistant user correct (i.e., 5-10% of users would share)",35,20.00%,872,6.88%,13.12%,0.0111
"S3 privacy assistant expert correct (i.e., 5-10% of experts recommend share)",35,20.00%,853,6.45%,13.55%,0.0081
"S5 privacy assistant both correct (i.e.,  5-10% of users would share and  5-10% of experts recommend share)",53,11.32%,1036,6.95%,4.37%,0.2657
"S6 privacy assistant both correct (i.e.,  85-90% of users would share and  85-90% of experts recommend share)",44,90.91%,1045,87.75%,3.16%,0.6438
