Group,Control Total #,Control Yes #,Control Yes %,With Assistant Total #,With Assistant Yes #,With Assistant Yes %,Diff %,Odds Ratio,p-Value
S3 user (mistake),95,16,16.84%,120,17,14.17%,+2.68%,1.227,0.7037
S3 user (correct),95,16,16.84%,844,53,6.28%,+10.56%,3.023,0.0012
S3 expert (mistake),95,16,16.84%,40,8,20.00%,-3.16%,0.810,0.6322
S3 expert (correct),95,16,16.84%,841,60,7.13%,+9.71%,2.636,0.0026
S5 expert (mistake),82,6,7.32%,46,11,23.91%,-16.60%,0.251,0.0130
S5 user (mistake),82,6,7.32%,44,1,2.27%,+5.04%,3.395,0.4199
S5 both (mistake),82,6,7.32%,46,16,34.78%,-27.47%,0.148,0.0002
S5 both (correct),82,6,7.32%,1035,52,5.02%,+2.29%,1.492,0.4320
S6 expert (mistake),85,66,77.65%,44,29,65.91%,+11.74%,1.797,0.2055
S6 user (mistake),85,66,77.65%,46,37,80.43%,-2.79%,0.845,0.8247
S6 both (mistake),85,66,77.65%,32,17,53.12%,+24.52%,3.065,0.0124
S6 both (correct),85,66,77.65%,1025,893,87.12%,-9.47%,0.513,0.0203
